round,local_updates,examples_processed,train_loss,train_accuracy,drift,grad_norm,selected_clients,aggregation_weights,client_losses,client_accuracies,seed,hard_k
17,425,27160,0.19800168743133545,0.9355666666666667,,,"[0, 1]","[0.5, 0.5]","[0.1992446080525716, 0.1967587668100993]","[0.9350666666666667, 0.9360666666666667]",0,20
18,450,28760,0.17446096331278482,0.9455333333333333,,,"[0, 1]","[0.5, 0.5]","[0.17542190017700196, 0.1735000264485677]","[0.9448, 0.9462666666666667]",0,20
19,475,30360,0.15332457192738852,0.9537333333333333,,,"[0, 1]","[0.5, 0.5]","[0.1532684617360433, 0.15338068211873374]","[0.9528666666666666, 0.9546]",0,20
20,500,31960,0.14836275266011556,0.9539333333333333,,,"[0, 1]","[0.5, 0.5]","[0.14966907755533854, 0.14705642776489258]","[0.9531333333333334, 0.9547333333333333]",0,20
21,525,33560,0.15729810326894123,0.9538,,,"[0, 1]","[0.5, 0.5]","[0.15844081624348957, 0.1561553902943929]","[0.9532, 0.9544]",0,20
22,550,35160,0.14838439394632974,0.9555666666666667,,,"[0, 1]","[0.5, 0.5]","[0.1499068291982015, 0.146861958694458]","[0.9558666666666666, 0.9552666666666667]",0,20
23,575,36760,0.13189575045903523,0.9614,,,"[0, 1]","[0.5, 0.5]","[0.13358487129211427, 0.13020662962595622]","[0.9612, 0.9616]",0,20
24,600,38320,0.12708232250213625,0.9634,,,"[0, 1]","[0.5, 0.5]","[0.12776195411682129, 0.12640269088745118]","[0.9632, 0.9636]",0,20
25,625,39920,0.14341485392252604,0.9554666666666667,,,"[0, 1]","[0.5, 0.5]","[0.144367946879069, 0.14246176096598306]","[0.9554666666666667, 0.9554666666666667]",0,20
26,650,41520,0.12600214385986327,0.9617,,,"[0, 1]","[0.5, 0.5]","[0.12621511561075846, 0.1257891721089681]","[0.961, 0.9624]",0,20
27,675,43120,0.11854696467717488,0.9658,,,"[0, 1]","[0.5, 0.5]","[0.11969363110860189, 0.11740029824574788]","[0.9656666666666667, 0.9659333333333333]",0,20
28,700,44720,0.11790489956537882,0.965,,,"[0, 1]","[0.5, 0.5]","[0.11928169352213541, 0.11652810560862223]","[0.9641333333333333, 0.9658666666666667]",0,20
29,725,46320,0.11121785933176676,0.9661333333333333,,,"[0, 1]","[0.5, 0.5]","[0.11185230077107747, 0.11058341789245606]","[0.9666666666666667, 0.9656]",0,20
30,750,47920,0.11388040771484376,0.9656,0.07929521054029465,0.5638138055801392,"[0, 1]","[0.5, 0.5]","[0.11522883669535319, 0.1125319787343343]","[0.9650666666666666, 0.9661333333333333]",0,20
0,0,0,2.311401094563802,0.0692,0.06663820147514343,0.8286372423171997,[],[],"[2.311753377278646, 2.3110488118489583]","[0.07193333333333334, 0.06646666666666666]",1,1
1,6,384,2.228730480957031,0.1488,,,"[0, 1]","[0.5, 0.5]","[2.228282995605469, 2.2291779663085936]","[0.15353333333333333, 0.14406666666666668]",1,1
2,12,768,2.1403475962320964,0.4181666666666667,,,"[0, 1]","[0.5, 0.5]","[2.139826513671875, 2.1408686787923177]","[0.42593333333333333, 0.4104]",1,1
3,18,1152,2.017307728068034,0.502,,,"[0, 1]","[0.5, 0.5]","[2.0177088216145833, 2.0169066345214843]","[0.5014666666666666, 0.5025333333333334]",1,1
4,24,1536,1.8107332427978515,0.46033333333333337,,,"[0, 1]","[0.5, 0.5]","[1.8107182454427084, 1.8107482401529948]","[0.46173333333333333, 0.45893333333333336]",1,1
5,30,1920,1.6353909444173178,0.5784,,,"[0, 1]","[0.5, 0.5]","[1.6348465901692708, 1.6359352986653646]","[0.5772666666666667, 0.5795333333333333]",1,1
6,36,2304,1.51756696879069,0.5586,,,"[0, 1]","[0.5, 0.5]","[1.518968377685547, 1.5161655598958332]","[0.5588666666666666, 0.5583333333333333]",1,1
7,42,2688,1.323675513712565,0.6547000000000001,,,"[0, 1]","[0.5, 0.5]","[1.3200309692382812, 1.327320058186849]","[0.6596, 0.6498]",1,1
8,48,3072,1.1496795435587566,0.7440333333333333,,,"[0, 1]","[0.5, 0.5]","[1.1500273071289062, 1.1493317799886067]","[0.7418666666666667, 0.7462]",1,1
